name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset
가공우유,유가공품류,225.0,73.0,48.0,9.47,10.8,2.46,2.33,846,가공식품
가공우유(멸균),유가공품류,200.0,69.0,50.0,9.57,11.0,2.25,2.24,28,가공식품
가라지류,어패류 및 기타 수산물,,78.0,,0.69,0.69,14.81,1.3,1,원재료성식품
가래떡,빵 및 과자류,100.0,205.0,241.0,0.03,46.11,3.92,0.51,3,음식
가리비류,어패류 및 기타 수산물,,81.0,410.5,0.81,1.56,14.5,1.01,17,원재료성식품
가무락조개,어패류 및 기타 수산물,,69.0,528.0,2.77,2.98,11.16,1.03,2,원재료성식품
가물치,어패류 및 기타 수산물,,93.0,28.0,0.3,0.6,18.23,1.44,2,원재료성식품
가시망둑,어패류 및 기타 수산물,,101.0,,0.0,0.0,22.4,0.7,1,원재료성식품
가시오가피,채소류,,69.5,1.0,2.27,13.93,5.46,0.77,2,원재료성식품
가오리류,어패류 및 기타 수산물,,97.0,,0.0,0.0,21.6,0.6,5,원재료성식품
가오리찜,찜류,400.0,65.5,139.0,0.38,1.99,12.34,1.11,2,음식
가오리콩나물찜,찜류,600.0,29.0,111.0,0.69,3.5,2.68,0.84,1,음식
가오리회무침,생채·무침류,270.0,47.0,164.0,3.54,6.47,4.7,0.47,2,음식
가자미 매운탕,찌개 및 전골류,550.0,31.0,121.5,0.37,1.45,4.45,0.81,2,음식
가자미구이,구이류,145.0,138.5,303.0,0.01,1.01,16.7,6.44,6,음식
가자미류,어패류 및 기타 수산물,,90.0,118.0,0.21,0.2,18.07,1.1,129,원재료성식품
가자미식해,젓갈류,250.0,134.0,685.0,3.71,11.64,11.09,4.81,1,음식
가자미조림,조림류,188.8,99.0,564.0,2.53,7.0,12.37,2.52,5,음식
가자미찜,찜류,170.8,77.5,344.5,0.77,2.73,11.75,1.95,2,음식
가자미튀김,튀김류,78.5,159.5,486.5,0.01,4.21,12.9,9.45,4,음식
가재류,어패류 및 기타 수산물,,85.0,246.0,0.3,0.6,15.97,0.95,9,원재료성식품
가죽나물무침,생채·무침류,80.0,76.0,276.0,3.81,10.05,5.83,1.35,1,음식
가지,채소류,,20.5,7.0,2.32,4.8,1.26,0.1,4,원재료성식품
가지김치,김치류,100.0,36.0,1592.0,2.45,6.22,2.1,0.77,1,음식
가지나물,나물·숙채류,50.0,34.0,228.0,1.89,4.18,1.24,1.5,5,음식
가지냉국,국 및 탕류,160.0,19.0,654.0,1.4,3.42,1.1,0.39,1,음식
가지볶음,볶음류,60.0,35.0,169.0,1.65,3.36,0.91,1.94,3,음식
가지전,전·적 및 부침류,200.0,114.0,337.0,0.84,8.88,3.2,6.13,5,음식
가지찜,찜류,77.2,120.0,401.5,2.64,10.23,5.6,6.26,2,음식
가지탕수,튀김류,195.4,154.0,236.0,4.19,21.21,2.2,6.5,3,음식
각시수랑,어패류 및 기타 수산물,,70.0,,0.92,0.92,15.0,0.3,1,원재료성식품
간자장,면 및 만두류,725.0,139.0,399.0,2.16,21.67,5.25,3.29,4,음식
간장,장류,840.0,60.0,6010.0,2.38,8.0,7.0,0.0,817,가공식품
간재미회무침,생채·무침류,270.0,47.0,164.0,3.57,6.47,4.73,0.47,1,음식
갈래곰보,해조류,,12.0,,4.3,4.6,0.9,0.2,1,원재료성식품
갈매기살구이,구이류,100.0,312.0,124.0,0.0,0.28,26.98,22.6,1,음식
갈비구이,구이류,150.0,309.0,402.0,4.63,7.13,20.03,21.81,5,음식
갈비찜,찜류,300.0,172.0,301.0,1.73,6.95,19.94,6.57,3,음식
갈비탕,국 및 탕류,521.4,51.5,100.0,0.15,2.29,3.45,2.79,6,음식
갈색 거저리,기타,,366.0,51.5,1.46,7.62,37.29,20.71,2,원재료성식품
갈치구이,구이류,125.0,127.5,326.0,0.0,3.05,9.82,7.34,10,음식
갈치류,어패류 및 기타 수산물,,125.0,81.0,0.0,0.0,18.63,4.54,71,원재료성식품
갈치젓,젓갈류,90.0,149.0,5023.0,4.91,10.28,15.53,5.08,1,음식
갈치조림,조림류,95.0,76.0,297.0,1.78,4.67,7.1,3.09,3,음식
갈치찌개,찌개 및 전골류,341.9,39.0,223.5,0.8,2.4,4.01,1.56,4,음식
갈치튀김,튀김류,100.0,78.0,172.0,0.0,1.85,4.6,5.47,2,음식
감,과일류,,62.0,1.0,11.73,16.6,0.42,0.1,10,원재료성식품
감말랭이,과일류,,236.0,2.0,29.46,63.57,1.83,0.12,3,원재료성식품
감바스,볶음류,641.0,303.0,497.0,1.46,18.56,8.41,22.52,3,음식
감잎차,차류,,0.0,0.0,0.0,0.0,0.02,0.03,1,원재료성식품
감자,찜류,200.0,70.0,3.0,0.86,15.01,2.16,0.16,1,음식
감자 된장국,국 및 탕류,256.7,27.0,211.5,0.33,3.66,1.9,0.55,4,음식
감자 소고기찌개,찌개 및 전골류,204.0,52.0,299.0,0.68,4.05,3.4,2.45,3,음식
감자 호박된장국,국 및 탕류,320.0,25.0,377.0,0.55,3.51,2.1,0.43,1,음식
감자구이,구이류,109.0,102.0,49.0,0.55,15.31,1.95,4.07,4,음식
감자국,국 및 탕류,240.0,22.0,216.5,0.24,4.09,1.34,0.18,8,음식
감자그라탕,구이류,47.6,140.0,375.0,2.66,13.03,4.1,7.78,5,음식
감자밥,밥류,261.5,130.0,2.0,0.01,28.45,2.4,0.14,1,음식
감자범벅,"곡류, 서류 제품",112.3,95.0,600.0,4.44,21.91,2.3,0.05,3,음식
감자볶음,볶음류,101.3,88.0,208.0,0.88,11.81,1.9,3.08,31,음식
감자빵,빵 및 과자류,,247.0,325.5,5.28,41.7,3.13,8.58,10,음식
감자샐러드,생채·무침류,80.0,161.0,308.0,3.11,15.59,2.7,9.97,6,음식
감자샐러드 샌드위치,빵 및 과자류,380.0,108.0,217.0,2.27,13.39,3.1,4.73,3,음식
감자스프,죽 및 스프류,200.0,86.0,20.0,2.35,8.13,2.9,4.45,3,음식
감자연근튀김,튀김류,155.9,149.0,405.0,0.38,22.74,3.8,4.31,1,음식
감자전,전·적 및 부침류,200.0,93.0,69.0,0.11,13.75,1.72,3.24,5,음식
감자조림,조림류,80.0,92.0,282.0,2.25,15.95,1.8,2.49,5,음식
감자탕,찌개 및 전골류,420.0,65.0,172.0,0.42,3.37,4.59,3.34,5,음식
감자튀김,튀김류,175.7,231.0,376.0,0.33,18.83,3.21,4.78,23,음식
감펭류,어패류 및 기타 수산물,,108.0,,0.17,0.17,18.92,3.9,5,원재료성식품
갑오징어류,어패류 및 기타 수산물,,81.5,,0.23,0.22,17.09,0.7,6,원재료성식품
갑오징어무침,생채·무침류,100.0,50.0,225.0,3.06,5.89,5.31,0.74,1,음식
갓,채소류,,21.0,7.5,0.74,3.39,2.42,0.33,4,원재료성식품
갓김치,김치류,100.0,37.0,720.0,2.46,7.07,3.26,0.4,1,음식
강낭콩,두류,,171.0,2.5,0.0,32.14,9.57,0.92,4,원재료성식품
강낭콩밥,밥류,300.0,111.5,1.5,0.08,24.1,2.25,0.24,4,음식
